name,birth,death,age
FLAV1946 C. Flavius (88) Fimbria,-115,-85,30
MARC1947 C. Marcius (43) Censorinus,-111,-82,29
COEL1956 P. Coelius (Caelius 16) Caldus,-125,-87,38
IULI1957 C. Iulius (131) C. f. C. n. Fab. Caesar,-100,-44,56
HIRT1960 -. Hirtuleius (1),-125,-75,50
FABI1964 C. Fabius (82) C. f. Q. n. Mae. Hadrianus,-150,-83,67
VERR1967 C. Verres (1) Rom.,-125,-41,84
"BURR1970 P.? Burrenus (Burrienus 1, and RE 3.1070)",-125,-80,45
IUNI1973 M. Iunius (52) Brutus,-117,-77,40
POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,-106,-48,58
CARR1977 C. Carrinas (1),-125,-82,43
IUNI1980 L. Iunius (58) L. f. Gal. Brutus Damasippus,-125,-80,45
LICI1981 M. Licinius (68) P. f. M. n. Crassus,-115,-53,62
MARI1983 C. Marius (15) C. f. C. n.,-108,-82,26
PERP1986 M. Perperna (6) Veiento,-125,-72,53
VALE1989 Q. Valerius (345) Rom. Soranus,-125,-80,45
DOMI1991 Cn. Domitius (22) Ahenobarbus,-125,-81,44
COEL1995 C. Coelius (6) Antipater,-125,-82,43
FLAV1996 -. Flavius (86) Fimbria,-125,-82,43
SERG1998 L. Sergius (23) Tro. Catilina,-125,-62,63
CASS0020 Sp. Cassius (91) Vecellinus,-550,-485,65
LUCR2003 Q. Lucretius (25) Afella (or Ofella),-124,-82,42
VENU2004 -. Venuleius (1),-125,-82,43
PAPI2011 C. Papirius (34) (Cn. f.) Carbo,-125,-80,45
CORN2012 P. Cornelius (240) P. f. P. n. Lentulus Sura,-114,-63,51
FABI2013 L. Fabius (84) L. f. Hispaniensis,-125,-71,54
"LIVI2018 L. Livius (31, Iulius 453) Salinator",-125,-81,44
"MEMM2020 C. Memmius (6, 7) L. f. Gal.",-125,-75,50
DOMI2022 M. Domitius (44) Calvinus,-125,-80,45
HERE2024 C. Herennius (7),-125,-75,50
HIRT2033 L. Hirtuleius (3) L. f.,-125,-75,50
THOR2034 L. Thorius (4) Mae. Balbus,-150,-79,71
SICI2052 Cn. Sicinius (9),-109,-76,33
MARI2053 M. Marius (23),-125,-73,52
LAEL2056 D. Laelius (5),-125,-77,48
OCTA2057 C. Octavius (55) Graecinus,-125,-71,54
TARQ2058 C. Tarquitius (8) L. f. Fal. Priscus,-125,-71,54
TULL2072 M. Tullius (29) M. f. M. n. Cor. Cicero,-106,-43,63
AFRA2074 L. Afranius (6) A. f. Vel.,-125,-46,79
COSS2100 L. Cossinius (2) Lem.,-125,-73,52
LICI2103 C. Licinius (112) L. f. Macer,-108,-66,42
TORA2106 C. Toranius (4),-125,-41,84
ANTO2146 M. Antonius (not in RE),-125,-71,54
MAEC2148 -. Maecenas (2),-125,-71,54
MANL2149 M. Manlius or Mallius (Manlius 5),-125,-71,54
TULL2216 Q. Tullius (31) M. f. M. n. Cor. Cicero,-102,-43,59
CLOD2219 P. Clodius (48) Ap. f. Pal. Pulcher,-91,-52,39
LUCC2225 L. Lucceius (6) Q. f.,-100,-41,59
PORC2241 M. Porcius (16) M. f. M. n. Pap. Cato (Uticensis),-95,-46,49
"SEPT2242 L. Septimius (9, 10a)",-100,-48,52
POMP2253 Cn. Pompeius (32) Cn. f. Cn. n. Magnus,-100,-45,55
POMP2254 Sex. Pompeius (33) Cn. f. Cn. n. Magnus Pius,-70,-35,35
DOMI2264 L. Domitius (27) Cn. f. Cn. n. Fab. Ahenobarbus,-98,-48,50
CALP2274 Cn. Calpurnius (69) Piso,-100,-64,36
PETR2280 M. Petreius (3) Hor.,-92,-46,46
CORN2290 P. Cornelius (238) P. f. L. n. Lentulus Spinther,-100,-47,53
LABI2292 T. Labienus (6) Vel. 'Rabienus',-100,-45,55
CORN2300 Faustus Cornelius (377) L. f. L. n. Sulla,-89,-46,43
IUVE2308 M. Iuventius (16) (M. f.) Pap. Laterensis,-100,-43,57
FULC0233 C. Fulcinnius (1),-475,-438,37
TREB2336 C. Trebonius (6) C. f.,-100,-43,57
CLOE0234 -. Cloelius (6) Tullus,-475,-438,37
CAEC2347 Q. Caecilius (99) Q. f. Q. n. Fab. Metellus Pius Scipio = P. Cornelius (352) Scipio Nasica,-95,-46,49
COSC2348 C. Cosconius (5) C. f.,-100,-47,53
ANTI0235 Sp. Antius (6),-475,-438,37
FAVO2352 M. Favonius (1) Ouf.,-90,-42,48
CORN2356 L. Cornelius (218) P. f. L. n. Pal. Lentulus Crus,-98,-48,50
VILL2358 L. Villius (7) Pom. Annalis,-100,-43,57
CONS2359 C. Considius (11) Longus,-100,-46,54
ROSC0236 L. Roscius (4),-475,-438,37
AURU2369 L. Aurunculeius (6) Cotta,-100,-54,46
TITU2371 Q. Titurius (3) Ser. Sabinus,-100,-54,46
LICI2372 P. Licinius (63) M. f. (P.? n.) Crassus,-82,-53,29
"IULI2374 Sex. Iulius (152, 153) Caesar",-83,-46,37
QUIN2376 Sex. Quinctilius (4) Varus,-100,-41,59
SEPT2377 C. Septimius (7) Qui. T. f.,-100,-41,59
ANNI2381 T. Annius (67) Mae. Milo = T. Papius Milo,-100,-48,52
ANTO2392 M. Antonius (30) M. f. M. n.,-83,-30,53
CORN2394 P. Cornelius (239) P. f. Lentulus Spinther,-75,-42,33
CLAU2398 M. Claudius (229) M. f. M. n. Marcellus,-95,-45,50
CAEL2417 M. Caelius (35) Vel. Rufus,-82,-48,34
ATEI2422 C. Ateius (7) C. f. Capito,-100,-43,57
LIGA2442 T. Ligarius (5) Ser.,-100,-41,59
SCRI2443 C. Scribonius (11) C. f. C. n. Curio,-100,-49,51
LABE2446 Q. Laberius (6) Durus,-100,-54,46
PETR2447 -. Petronius (84),-100,-53,47
HIRT2449 A. Hirtius (2) A. f. Pob.,-79,-43,36
OCTA2451 -. Octavius  (5),-100,-53,47
VARG2452 -. Vargunteius (1),-100,-53,47
ATTI2455 P. Attius (32) Varus,-100,-45,55
CASS2458 C. Cassius (59) Longinus,-82,-42,40
IUNI2459 M. Iunius (53) M. f. Brutus = Q. Servilius Caepio Brutus,-85,-42,43
"MARC2464 -. (Marcius) (42, cf. 43) Censorinus",-85,-53,32
MEGA2465 -. Megabocchus (1),-85,-53,32
"IUNI2489 D. Iunius (55a, Supb. 5.369) D. f. D. n. Brutus Albinus",-100,-43,57
VIBI2495 C. Vibius (16) C. f. C. n. Tro. Pansa Caetronianus,-89,-43,46
ANTO2497 C. Antonius (20) M. f. M. n.,-80,-42,38
LUCI2502 Sex. Lucilius (16),-100,-51,49
CORN2515 P. Cornelius (141) P. f. Dolabella = P. Cornelius Lentulus,-69,-43,26
LIVI2520 M. Livius (19) Drusus (Claudianus),-100,-42,58
QUIN2542 Sex. Quinctilius (17) Varus,-100,-42,58
VULT2549 C. Vulteius (Vulteius) Capito,-100,-49,51
HORT2554 Q. Hortensius (8) Q. f. L. n. Hortalus,-100,-42,58
IULI2559 L. Iulius (144) L. f. L. n. Caesar,-100,-46,54
CORN2572 P. Cornelius (232) Lentulus Marcellinus,-100,-48,52
CORN2573 Q. Cornificius (8) Q. f. Mae.,-90,-42,48
TITI2576 L.? Titius (13) L. f. Hispanus,-100,-46,54
PATI2578 Q. Patisius (1),-100,-30,70
STAI2588 L. Staius (2) Vol. Murcus,-100,-39,61
GALL2605 Q. Gallius (7),-100,-43,57
GRAN2610 -. Granius (9) Fal. Petro,-100,-46,54
TERE2611 M. Terentius (89) Varro Gibba,-100,-42,58
TITI2617 -. Titius (cf. 13) L. f. Hispanus,-100,-46,54
"AQUI2618 M. Aquinus (5, Aquinius 2)",-100,-30,70
DIDI2619 C. Didius (2),-100,-45,55
TULL2632 Q. Tullius (32) Q. f. M. n. Cicero,-66,-43,23
POMP2633 A. Pompeius (26) Bithynicus,-100,-42,58
PONT2637 L. Pontius (17) Pap. Aquila,-100,-43,57
BAEB2645 -. Baebius (5),-100,-44,56
CEST2662 C. Cestius (3),-75,-41,34
"ANON2667 P. - (RE 16.1792 (1), no. 4) Naso",-100,-41,59
TURR2669 C. Turranius (4),-75,-43,32
CANN2677 Ti. Cannutius (3),-75,-43,32
CARF2678 D. Carfulenus (1),-100,-43,57
DECI2679 L. Decidius (4) Saxa,-75,-40,35
"HELV2681 C. Helvius (11, cf. 12) Fab. Cinna",-75,-44,31
TURU2692 D. Turullius (1),-75,-30,45
CAES2701 -. Caesennius (6) Lento,-100,-41,59
AQUI2708 M'. Aquillius (16) Crassus,-75,-41,34
CAEC2709 M. Caecilius (45) Cornutus,-75,-43,32
"MINU2712 -. Minucius (9, cf. 50) Rufus",-75,-43,32
SALV2718 -. Salvius (6),-75,-43,32
CASS2723 C. Cassius (80) Pol. Parmensis,-75,-30,45
PATI2728 Q. Patiscus (1),-75,-30,45
CASS2742 L. Cassius (15) L. f. Longinus,-75,-42,33
FLAV2744 C. Flavius (11) Hemicillus,-75,-42,33
PEDU2752 C. Peducaeus (1),-75,-43,32
PORC2754 M. Porcius (13) Pap. Cato,-75,-42,33
VILL2768 -. Villius (4) L. f. Annalis,-75,-42,33
CLOD2769 L.? Clodius (18) Bithynicus,-75,-40,35
CORN2774 Q. Cornucius (8),-100,-46,54
"LAEL2775 D. Laelius (14, cf. 6) D. f. Balbus",-75,-42,33
LABI2777 Q. Labienus (5) T. f. Parthicus,-75,-39,36
ANTI2778 Pacuvius Antistius (35) Labeo,-75,-42,33
SALV2788 Q. Salvidienus (4) Rufus Salvius,-75,-40,35
VENT2791 -. Ventidius (3),-75,-42,33
ROSC2797 -. Roscius (2),-75,-42,33
FUFI2807 C. Fuficius (5) Fal. Fango,-75,-40,35
CORN2816 C. Cornelius (164) Cn. f. Gallus,-69,-26,43
CURT2817 Q. Curtius (32) Salassus,-75,-41,34
POMP2832 Cn.? Pompeius (Menodorus 1) Cn. lib. Menodorus,-75,-35,40
VELL2836 C. Velleius (2),-100,-40,60
POMP2854 -. Pompeius (Demochares 7) Demochares Papias,-75,-36,39
FLAV2870 -. Flavius (94) Gallus,-75,-36,39
OPPI2874 -. Oppius (34) Statianus,-75,-36,39
CURI2892 -. Curius (3),-75,-35,40
"UTTI2978 -. Uttiedius (Tedius 1, RE 5A.1.106-7) L. f. Afer",-75,-29,46
"POST0307 P. Postumius (60, cf. 1, 51) A. f. A. n. Albinus Regillensis",-450,-414,36
SEXT0309 P. Sextius (Sestius 5),-450,-414,36
VALE3113 L. Valerius (310) Praeconinus,-125,-78,47
ATTI3151 -. Attidius (Atidius 2),-125,-67,58
CORN3165 C. Cornelius (89) Cethegus,-100,-63,37
DECI3183 P. Decius (1),-75,-43,32
PLAE3234 M. Plaetorius (11),-125,-82,43
QUIN3242 L. Quinctius (13),-75,-40,35
POST3245 Q. Postumius (21),-75,-31,44
SILI3262 P. Silicius (1) Corona,-75,-43,32
STAT3267 -. Statius (1) Vol. 'the Samnite',-123,-43,80
VIBI3280 C. Vibienus (3),-100,-52,48
CAES3339 P. Caesetius (5) Rufus,-75,-43,32
CORN3383 Cn. Cornelius (133) Dolabella,-150,-100,50
ANON3426 -. - (not in RE) Cillo (or Chilo?),-75,-43,32
CURT3443 P. Curtius (10) (Salassus),-100,-45,55
FIDU3465 M. Fidustius (1) Ste.,-125,-41,84
FLAV3468 C. Flavius (13),-75,-40,35
VIBI3526 C. Vibius (15) C. f. Pansa,-125,-80,45
GENU0360 Cn. Genucius (10) M. f. M. n. Augurinus,-450,-396,54
HATE3702 -. Haterius (1),-75,-41,34
HELV3703 -. Helvius (10) Blasio,-75,-43,32
HIRT3707 Q. Hirtuleius (4) L. f. Ser.,-125,-75,50
IUST3743 -. Iustuleius (10.1340),-100,-48,52
LICI3749 M. Licinius (20),-250,-209,41
CAEL3755 -. Caelius (not in RE),-125,-86,39
OCTA3758 C. Octavius (44) Balbus,-75,-41,34
OVIN3763 Q. Ovinius (2),-75,-31,44
PETR3772 -. Petronius (85),-75,-42,33
"PLAU3775 L. Plautius (Plotius) (10, cf. Munatius 26) Plancus",-100,-43,57
POMP3866 Q. Pompeius (40) Rufus,-175,-88,87
LICI3868 -. Licinius (50) Crassus Dives,-175,-87,88
CORN3869 L. Cornelius (327) Scipio Asiagenus Aemilianus,-125,-77,48
LUCR3899 Q. Lucretius (35) Vespillo,-125,-80,45
