name,birth,death,age
CORN2819 L. Cornelius (69) L. f. Clu. Balbus,-100,-25,75
STAT2822 T. Statilius (34) T. f. Taurus,-80,0,80
TITI2834 M. Titius (18) L. f.,-69,0,69
SOSI2840 C. Sosius (2) C. f. T. n.,-79,0,79
LICI2860 M. Licinius (58) M. f. M. n. Crassus,-75,-25,50
CLAU2867 Ap. Claudius (298) C. f. Ap. n. Pulcher,-75,0,75
MINU0290 Sp. Minucius (28),-475,-350,125
VALE2914 Potitus Valerius (267) (M. f. M. n.?) Messalla,-70,0,70
ARRU2918 L. Arruntius (7) L. f. L. n. Ter.,-75,0,75
APPU2927 Sex. Appuleius (17) Sex. f.,-79,0,79
IUNI2929 L. Iunius (165) M. f. D. n. Silanus,-59,-12,47
AEMI2931 Q. Aemilius (79) M'. f. Lepidus,-75,0,75
LICI2933 C. Licinius (44) Calvus Stilo,-50,0,50
MUCI2934 C. Mucius (14) Scaevola,-50,0,50
IULI2963 L. Iulius (362) Mocilla,-75,-25,50
IULI2963 L. Iulius (362) Mocilla,-75,-25,50
LIVI2965 L. Livius (25) Ocella or Pella,-75,-25,50
LIVI2965 L. Livius (25) Ocella or Pella,-75,-25,50
TITI2981 L. Titius (15),-100,25,125
LIVI3050 L. Livius (26) L. f. Ocella,-75,25,100
SCRI3080 L. Scribonius (19) Libo,-125,-25,100
IUNI3114 L. Iunius (21a),-150,0,150
FANN3190 C. Fannius (8) C. f.,-125,-75,50
"SENT3258 C. Sentius (4, cf. 9) C. f. Sab. Saturninus Vetulo",-100,-25,75
AMNA3320 -. Amnaeus (not in RE),-100,-50,50
SENT3384 L. Sentius (6) C. f. Ter. (Saturninus),-150,-75,75
FUFI3415 L. Fufidius (3),-125,-75,50
SERV0342 Q. Servilius (56) Q. f. P. n. Fidenas,-450,-325,125
"CLAU3430 Ap. Claudius (299, cf. 15) Pulcher",-75,-25,50
MEFU3472 T. Mefu- (not in RE) M. f.,-250,-150,100
TREB4149 A. Trebonius (2),-125,-50,75
QUIN0415 T. Quinctius (32) (T. f. L. n.) Cincinnatus Capitolinus,-450,-325,125
AEMI4633  Aemilia (150b),-219,-125,94
AEMI4634 -. Aemilius (not in RE) Potensis,-150,-50,100
AQUI4636 L. Aquinius (1),-450,-325,125
BATT4637 -. Battakes (2),-150,-50,100
ANON4638  - (Kalliphana) Calliphana,-150,-25,125
CASP4641  Casponia (not in RE) P. f. Maxima,-125,-25,100
CLOE4644 P. Cloelius (not in RE) Siculus,-300,-175,125
FABI4650 Ser. Fabius (128) Q. f. Q. n. Pictor,-190,-75,115
FAVO4651  Favonia (not in RE) M. f.,-125,-25,100
IULI4658 C. Iulius (18),-300,-200,100
LICI4659 C. Licinius (153) Ste. Sacerdos,-200,-125,75
MANI4660 -. Manius (cf. Marcius 2),-375,-250,125
MARC4661 Cn. Marcius (2),-350,-250,100
PAPI4662 C. Papirius (not in RE) L. f. Maso,-300,250,550
POST4668 C. Postumius (11),-150,-25,125
SPUR4671 -. Spurinna (2),-100,25,125
SULP4672  Sulpicia (82),-325,-225,100
TERE4675 Cn. Terentius (20),-250,-125,125
USIA4676  Usia (not in RE) Prima,-100,25,125
VINU4677 L. Vinulleius (1) L. f. Pom. Lucullus,-100,25,125
CORN0510 A. Cornelius (122) P. f. A. n. Cossus Arvina,-378,-250,128
CASS5157 M. Cassius (18) M. f. Pom.,-125,-50,75
FUND5159 C. Fundanius (1),-150,-75,75
AELI0542 P. Aelius (100) Paetus,-450,-250,200
CLAU0591 Ap. Claudius (91) C. f. Ap. n. Caecus,-341,-225,116
SEMP0603 P. Sempronius (85) P. f. C. n. Sophus,-334,-225,109
"CORN0621 Cn. Cornelius (71, cf. 316, 343) (Scipio) Barbatus Barbatus",-350,-250,100
GENU0633 C. Genucius (3) (Augurinus),-325,-295,30
MINU0634 M. Minucius (42) Faesus,-350,-250,100
PUBL0635 T. Publilius (9),-350,-295,55
MAMI0740 Q. Mamilius (12) Q. f. Turrinus,-310,-200,110
FULV0781 Q. Fulvius (59) M. f. Q. n. Flaccus,-270,-150,120
VALE0805 P. Valerius (181) L. f. M. n. Flaccus,-275,-200,75
SULP0816 Q. Sulpicius (16),-250,-150,100
CORN0819 P. Cornelius (342) (Cn. f. L. n.) Scipio Asina,-275,-200,75
LIVI0827 M. Livius (33) M. f. M. n. Pol. Salinator,-262,-200,62
CORN0855 A. Cornelius (257) Mammula,-250,-200,50
LAET0869 C. Laetorius (2),-250,-125,125
CAEC0891 Q. Caecilius (81) L. f. L. n. Metellus,-245,-125,120
CORN0903 P. Cornelius (200) Lentulus,-250,-200,50
CORN0923 P. Cornelius (383) Sulla,-239,-150,89
