country,continent,lifeExp,pop,gdpPercap
MARC1161 M. Marcius (21),Violent,32,32,-193
MARC1162 Q. Marcius (21),Violent,32,32,-193
"APUS1088 L. Apustius (2,  5) (Fullo)",Violent,41,41,-190
"BAEB1052 L. Baebius (14, 25) Dives",Violent,61,61,-189
MINU1064 Q. Minucius (65) Q. f. L. n. Thermus,Violent,41,41,-187
"ATIN1220 C. Atinius (1, 2)",Violent,39,39,-186
VIBE0677 Decius Vibellius (1) Campanus,Violent,143,143,-182
LICI1305 M. Licinius (166) Strabo,Violent,47,47,-178
"PETI1219 Q. Petillius (11, cf. 4) C. f. Q. n. Spurinus",Violent,43,43,-176
FULV1242 Q. Fulvius (61) Q. f. M. n. Flaccus,Violent,47,47,-172
OCTA1356 Cn. Octavius (17) Cn. f. Cn. n.,Violent,47,47,-162
POST1406 L. Postumius (42) Sp. f. L. n. Albinus,Violent,45,45,-154
TERE1486 -. Terentius (77) Varro,Violent,46,46,-154
CLAU4213 -. Claudius (60) Asellus,Violent,96,96,-154
LICI4214  Licinia (178),Violent,96,96,-154
IUVE1507 P. Iuventius (31) Thalna,Violent,52,52,-148
VETI1522 C. Vetilius (1),Violent,54,54,-146
HOST1562 L. Hostilius (26) Tubulus,Violent,34,34,-141
IUNI1566 D. Iunius (161) Silanus Manlianus,Violent,35,35,-140
OPPI1571 -. Oppius (3),Violent,35,35,-140
SEMP1525 Ti. Sempronius (54) Ti. f. P. n. Gracchus,Violent,29,29,-133
SEMP1598 C. Sempronius (47) Ti. f. P. n. Gracchus,Violent,33,33,-121
FULV1624 M. Fulvius (58) M. f. Flaccus,Violent,47,47,-121
POMP1675 Sex. Pompeius (17),Violent,40,40,-120
PAPI1623 C. Papirius (33) C. f. Carbo,Violent,44,44,-119
AEMI1698  Aemilia (153),Violent,26,26,-114
LICI4171 -. Licinius (6) Crassus,Violent,86,86,-114
LICI1646  Licinia (181) C. f.,Violent,27,27,-113
MARC1700  Marcia (114),Violent,37,37,-113
CALP1713 L. Calpurnius (97) Piso Frugi,Violent,39,39,-111
TURP1735 T. Turpilius (10) Silanus,Violent,41,41,-109
CALP1712 L. Calpurnius (88) L. f. C. n. Piso Caesoninus,Violent,43,43,-107
CASS1715 L. Cassius (62) L. f. Longinus,Violent,43,43,-107
AURE1683 M. Aurelius (215) Scaurus,Violent,45,45,-105
LUSI1769 C. Lusius (1) Ter.,Violent,46,46,-104
CLON4560 -. Clonius (or Cluvius) (not in RE),Violent,46,46,-104
AEMI1783 M. Aemilius (137) Scaurus,Violent,48,48,-102
GRAT1786 M. Gratidius (2) Cor.,Violent,48,48,-102
"MEMM1595 C. Memmius (5, 3)",Violent,43,43,-100
SERV1734 C. Servilius (65) Glaucia,Violent,42,42,-100
APPU1766 L. Appuleius (29) Saturninus,Violent,33,33,-100
EQUI1803 L. Equitius (3) Vel. 'Pseudogracchus',Violent,50,50,-100
SAUF1809 C. Saufeius (3),Violent,50,50,-100
CORN3383 Cn. Cornelius (133) Dolabella,Violent,50,50,-100
FURI1804 P. Furius (22),Violent,52,52,-98
LIVI1756 M. Livius (18) M. f. C. n. Drusus,Violent,28,28,-91
FONT1884 -. Fonteius (2),Violent,34,34,-91
SERV1796 Q. Servilius (50) Caepio,Violent,41,41,-90
RUTI1837 P. Rutilius (26) L. f. L. n. Lupus,Violent,35,35,-90
SERV1849 Q. Servilius (29),Violent,35,35,-90
POST1874 L. Postumius (13),Violent,35,35,-90
