name,birth,death,age
SEST1854 L. Sestius (2),-150,-56,94
AEMI1865 Mam. Aemilius (80) Mam. f. Lepidus Livianus,-119,-59,60
AURE1866 C. Aurelius (96) M. f. Cotta,-124,-73,51
SCRI1876 C. Scribonius (10) C. f. Curio 'Burbuleius',-119,-53,66
VARI1877 Q. Varius (7) Severus Hybrida Sucronensis,-124,-83,41
CAEC1889 Q. Caecilius (98) Q. f. L. n. Metellus Pius,-129,-64,65
HORT1902 Q. Hortensius (13) L. f. Hortalus,-114,-50,64
LICI1903 L. Licinius (104) L. f. L. n. Lucullus Ponticus,-117,-56,61
MINU1934 L. Minucius (37) L. f. Vel. Basilus,-125,-70,55
LUTA1949 Q. Lutatius (8) Q. f. Q. n. Catulus,-119,-59,60
"TERE1963 M. Terentius (84, Supb. 6.1172ff) Qui. Varro Reatinus",-116,-27,89
PUPI1974 M. Pupius (10) M. f. Piso Frugi Calpurnianus,-114,-46,68
ANTO1984 Q. Antonius (41) Balbus,-125,-82,43
AEMI1993 M. Aemilius (72) Q. f. M. n. Pal. Lepidus,-125,-77,48
VISE2027 C. Visellius (3) C. f. Qui. Varro,-105,-58,47
CORN2035 L. Cornelius (374) Sisenna,-118,-67,51
OCTA2036 L. Octavius (26) Cn. f. Cn. n.,-125,-74,51
CAEC2040 Q. Caecilius (86) Q. f. Q. or L.? n. Metellus Celer,-99,-59,40
PEDU2042 Sex. Peducaeus (5),-125,-45,80
IULI2044 L. Iulius (143) L. f. L. n. Caesar,-110,-40,70
CORN2048 -. Cornelius (318) Scipio,-125,-77,48
MANL2049 Q. Manlius (34),-125,-69,56
AUTR2070 P. Autronius (7) L. f. Paetus,-108,-46,62
ANTO2077 M. Antonius (29) M. f. Creticus,-125,-71,54
"CORN2082 Cn. Cornelius (228, 24) P. f. Lentulus Marcellinus",-100,-45,55
SULP2088 Ser. Sulpicius (95) Q. f. Lem. Rufus,-106,-43,63
ARRI2098 Q. Arrius (7) Aem.,-125,-72,53
ACIL2119 M'. Acilius (38) M'. f. M'. n. Glabrio,-111,-54,57
IUNI2120 D. Iunius (163) M. f. Silanus,-107,-56,51
CLAU2140 Ap. Claudius (297) Ap. f. Ap. n. Pulcher,-97,-48,49
CAEC2150 L. Caecilius (74) C. f. Q. n. Metellus,-150,-68,82
MARC2151 Q. Marcius (92) Q. f. Q. n. Rex,-125,-61,64
"SULP2179 P. Sulpicius (55, cf. 48) Galba",-99,-47,52
MUCI2191 P. Mucius (18) Q. f. P. n. Scaevola Cordus,-100,-57,43
QUIN2192 Sex. Quinctilius (16) (Varus),-100,-64,36
VOLU2195 P. Volumnius (6),-110,-56,54
CORN2196 L. Cornelius (234) Lentulus Niger,-100,-56,44
MANL2198 L. Manlius (80) L. f. L. n. Torquatus,-89,-46,43
MANL2205 L. Manlius (79) L. f. Torquatus,-110,-46,64
MARC2226 C. Marcius (63) C. f. C. n. Figulus,-100,-44,56
GABI2234 A. Gabinius (11) A. f. - n.,-100,-47,53
PLAU2265 P. Plautius (23) Hypsaeus,-100,-44,56
CALP2272 M. Calpurnius (28) C. f. Bibulus,-102,-48,54
COSC2286 C. Cosconius (4),-103,-59,44
VATI2297 P. Vatinius (3) P. f. Ser.,-95,-41,54
SULP0023 Ser. Sulpicius (35) P. f. - n. Camerinus Cornutus,-550,-463,87
DOMI2313 Cn. Domitius (43) M. f. M. n. Men. Calvinus,-89,-20,69
SULP2316 Ser. Sulpicius (61) Ser. n. Galba,-89,-43,46
FUFI2321 Q. Fufius (10) Q. f. C. n. Pob. Calenus,-125,-40,85
AEMI2341 M. Aemilius (73) M. f. Q. n. Lepidus,-90,-13,77
NIGI2349 P. Nigidius (3) Figulus,-100,-45,55
CALP2366 C. Calpurnius (93) L. f. Piso Frugi,-89,-57,32
PEDI2370 Q. Pedius (1) M. f.,-100,-43,57
PINA2373 L. Pinarius (19) Natta,-100,-56,44
CALI2375 M. Calidius (4),-97,-47,50
FABI2379 Q. Fabius (108) Q. f. Q. n. Maximus (Sanga?),-100,-45,55
CLAU2396 C. Claudius (216) C. f. M. n. Marcellus,-100,-40,60
CLAU2397 C. Claudius (217) M. f. M. n. Marcellus,-100,-44,56
CANI2401 L. Caninius (3) Pol. Gallus,-100,-44,56
SALL2429 C. Sallustius (10) Qui. Crispus,-86,-35,51
SERV0244 Q. Servilius (75) P. f. Sp. n. Ser. Priscus Fidenas,-475,-390,85
CASS2481 Q. Cassius (70) Longinus,-79,-47,32
LIGA2506 Q. Ligarius (4) Ser.,-100,-30,70
FURN2521 C. Furnius (3),-95,-17,78
ANTI2522 T. Antistius (22),-100,-47,53
VALE2536 M. Valerius (268) M. f. Lem. Messalla Rufus,-119,-26,93
ASIN2553 C. Asinius (25) Cn. f. Arn. Pollio,-76,4,80
CLAU2571 Ti. Claudius (254) Ti. f. Ap. n. Nero,-89,-33,56
POST0258 Sp. Postumius (52) Sp.? f. A.? n. Albus (Regillensis),-510,-439,71
